"playerID","tmID","year","off_win_share","def_win_share","win_share","tot_reb_percent","usage_percent","val_over_rep_player","plus_minus","player_eff_rating"
"rollike01","CHS",1949,0.4,2.2,2.6,NA,NA,NA,NA,NA
"royerbo01","DNN",1949,0.3,-0.3,0,NA,NA,NA,NA,NA
"rulloje01","PHW",1949,0,0,0,NA,NA,NA,NA,NA
"sadowed01","PHW",1949,0.3,0.9,1.2,NA,NA,NA,NA,NA
"sadowed01","BLB",1949,1.5,1.6,3.1,NA,NA,NA,NA,NA
"sailoke01","DNN",1949,4.8,-1,3.7,NA,NA,NA,NA,NA
"saulpe01","ROC",1949,1,0.5,1.5,NA,NA,NA,NA,NA
"schaehe01","MNL",1949,2.9,2.4,5.4,NA,NA,NA,NA,NA
"schatma01","BLB",1949,-1.3,0.4,-0.9,NA,NA,NA,NA,NA
"schaufr01","FTW",1949,4,4.3,8.4,NA,NA,NA,NA,NA
"schaydo01","SYR",1949,8.8,4,12.8,NA,NA,NA,NA,NA
"schoomi01","SHE",1949,4.3,-0.3,4,NA,NA,NA,NA,NA
"schulho01","AND",1949,-0.2,2.6,2.5,NA,NA,NA,NA,NA
"schulho01","FTW",1949,-1.4,2,0.5,NA,NA,NA,NA,NA
"schuldi01","WSC",1949,0,0.2,0.2,NA,NA,NA,NA,NA
"schuldi01","TRI",1949,0,0.1,0.1,NA,NA,NA,NA,NA
"schuldi01","SHE",1949,0.6,-0.1,0.4,NA,NA,NA,NA,NA
"scolafr01","WSC",1949,3.1,2.3,5.4,NA,NA,NA,NA,NA
"seewa01","WAT",1949,2,-0.4,1.6,NA,NA,NA,NA,NA
"selbogl01","SHE",1949,-0.2,0,-0.2,NA,NA,NA,NA,NA
"seltzro01","AND",1949,0,1.8,1.8,NA,NA,NA,NA,NA
"seminji01","BOS",1949,2.3,1.4,3.6,NA,NA,NA,NA,NA
"senesge01","PHW",1949,0.7,3.7,4.4,NA,NA,NA,NA,NA
"seymopa01","SYR",1949,1.1,2.7,3.8,NA,NA,NA,NA,NA
"shaefca01","INO",1949,0.4,0.4,0.8,NA,NA,NA,NA,NA
"shannho01","BOS",1949,1.5,1.4,2.9,NA,NA,NA,NA,NA
"shippch01","WAT",1949,-0.4,-0.2,-0.6,NA,NA,NA,NA,NA
"simmoco01","NYK",1949,0.9,1.5,2.4,NA,NA,NA,NA,NA
"smawlbe01","STB",1949,4.3,0.8,5,NA,NA,NA,NA,NA
"smileja01","AND",1949,-0.7,0.6,-0.2,NA,NA,NA,NA,NA
"smileja01","WAT",1949,0.8,-0.5,0.4,NA,NA,NA,NA,NA
"sobekch01","SHE",1949,3.4,-0.2,3.1,NA,NA,NA,NA,NA
"spearod01","CHS",1949,1.9,3.7,5.6,NA,NA,NA,NA,NA
"spectar01","BOS",1949,-0.2,0,-0.2,NA,NA,NA,NA,NA
"stanced01","AND",1949,3,3.1,6.2,NA,NA,NA,NA,NA
"stumpge01","MNL",1949,-0.6,0.5,0,NA,NA,NA,NA,NA
"stumpge01","WAT",1949,0,-0.1,-0.1,NA,NA,NA,NA,NA
"todormi01","STB",1949,-0.4,0.1,-0.3,NA,NA,NA,NA,NA
"todormi01","TRI",1949,1.4,1.8,3.3,NA,NA,NA,NA,NA
"toomaja01","DNN",1949,4.3,-0.7,3.6,NA,NA,NA,NA,NA
"toughbo01","BLB",1949,-0.2,0.1,-0.1,NA,NA,NA,NA,NA
"toughbo01","WAT",1949,-0.4,-0.1,-0.5,NA,NA,NA,NA,NA
"towerbl01","BLB",1949,0.7,1.9,2.6,NA,NA,NA,NA,NA
"triptdi01","BLB",1949,-0.1,0,-0.1,NA,NA,NA,NA,NA
"vanbrbi01","NYK",1949,1.6,0.7,2.3,NA,NA,NA,NA,NA
"vancege01","TRI",1949,1,1.2,2.2,NA,NA,NA,NA,NA
"vandeer01","NYK",1949,3,0.9,3.9,NA,NA,NA,NA,NA
"volkefl01","INO",1949,-0.2,0.1,-0.1,NA,NA,NA,NA,NA
"volkefl01","DNN",1949,-1.4,-0.5,-1.9,NA,NA,NA,NA,NA
"vonniwh01","TRI",1949,0.3,0.4,0.6,NA,NA,NA,NA,NA
"vonniwh01","BLB",1949,0.9,0.8,1.7,NA,NA,NA,NA,NA
"wagercl01","FTW",1949,-0.8,2.2,1.5,NA,NA,NA,NA,NA
"wagneda01","SHE",1949,0.6,0,0.6,NA,NA,NA,NA,NA
"walkebr01","BOS",1949,0.9,1,1.9,NA,NA,NA,NA,NA
"walthpa01","MNL",1949,0.2,0.5,0.8,NA,NA,NA,NA,NA
"walthpa01","INO",1949,1,0.4,1.4,NA,NA,NA,NA,NA
"wanzebo01","ROC",1949,8.6,1.9,10.5,NA,NA,NA,NA,NA
"wiermu01","TRI",1949,0.4,1.2,1.6,NA,NA,NA,NA,NA
"wilcudc01","STB",1949,0.5,0.1,0.6,NA,NA,NA,NA,NA
"woodbo01","SHE",1949,-0.1,0,-0.2,NA,NA,NA,NA,NA
"zasloma01","CHS",1949,4.8,3.6,8.4,NA,NA,NA,NA,NA
"arizipa01","PHW",1950,9.2,4.5,13.7,NA,NA,NA,NA,NA
"armstcu01","FTW",1950,-0.3,0.9,0.6,NA,NA,NA,NA,NA
"barkecl01","INO",1950,-0.9,0.7,-0.2,NA,NA,NA,NA,NA
"barnhle01","INO",1950,-0.7,1.9,1.3,NA,NA,NA,NA,NA
"barteed01","WSC",1950,-0.8,0.2,-0.5,NA,NA,NA,NA,NA
"beached01","MNL",1950,-0.4,0.2,-0.2,NA,NA,NA,NA,NA
"beached01","TRI",1950,-0.1,0,-0.1,NA,NA,NA,NA,NA
"beardra01","INO",1950,4.1,2.3,6.5,NA,NA,NA,NA,NA
"blevile01","INO",1950,-0.1,0,0,NA,NA,NA,NA,NA
"bobbne01","PHW",1950,0,1,1.1,NA,NA,NA,NA,NA
"borsaik01","PHW",1950,-0.1,0.2,0.1,NA,NA,NA,NA,NA
"borylvi01","NYK",1950,6.4,1,7.4,NA,NA,NA,NA,NA
"boykoha01","BOS",1950,0.6,0.4,1,NA,NA,NA,NA,NA
"boykoha01","TRI",1950,0.2,0.5,0.7,NA,NA,NA,NA,NA
"brianfr01","TRI",1950,2.9,2.7,5.6,NA,NA,NA,NA,NA
"budkowa01","BLB",1950,2.1,1.9,4,NA,NA,NA,NA,NA
"burriar01","FTW",1950,-0.9,0.6,-0.3,NA,NA,NA,NA,NA
"byrneto01","BLB",1950,0,0.2,0.2,NA,NA,NA,NA,NA
"byrneto01","WSC",1950,-0.7,0.1,-0.6,NA,NA,NA,NA,NA
"byrneto01","TRI",1950,-0.1,0.3,0.2,NA,NA,NA,NA,NA
"calabge01","SYR",1950,0.6,0.4,1,NA,NA,NA,NA,NA
"calhobi01","ROC",1950,1.2,1,2.2,NA,NA,NA,NA,NA
"carlsdo01","BLB",1950,0,0.1,0.2,NA,NA,NA,NA,NA
"carpebo01","FTW",1950,-0.6,0.4,-0.2,NA,NA,NA,NA,NA
"carpebo01","TRI",1950,1.2,0.9,2.1,NA,NA,NA,NA,NA
"cervial01","SYR",1950,4.2,1.1,5.3,NA,NA,NA,NA,NA
"chollle01","SYR",1950,-0.8,0.1,-0.7,NA,NA,NA,NA,NA
"chrisca01","TRI",1950,0.5,2.7,3.2,NA,NA,NA,NA,NA
"cliftna01","NYK",1950,-1.7,1.2,-0.4,NA,NA,NA,NA,NA
"clossbi01","PHW",1950,-0.3,3.1,2.8,NA,NA,NA,NA,NA
"colemja01","ROC",1950,4.3,2.2,6.5,NA,NA,NA,NA,NA
"coopech01","BOS",1950,1.9,1.4,3.3,NA,NA,NA,NA,NA
"corlera01","BLB",1950,-0.5,0.2,-0.3,NA,NA,NA,NA,NA
"corlera01","TRI",1950,0,0.3,0.3,NA,NA,NA,NA,NA
"cousybo01","BOS",1950,2.2,1.8,3.9,NA,NA,NA,NA,NA
"daviebo01","ROC",1950,5.3,1.6,6.9,NA,NA,NA,NA,NA
"dezonha01","TRI",1950,-0.2,0.1,-0.1,NA,NA,NA,NA,NA
"dolhojo01","BLB",1950,0,0.1,0.1,NA,NA,NA,NA,NA
"donhabo01","BOS",1950,3.8,0.7,4.5,NA,NA,NA,NA,NA
"duncaan01","BOS",1950,-0.4,0.1,-0.3,NA,NA,NA,NA,NA
"eddledi01","TRI",1950,0.9,2.9,3.8,NA,NA,NA,NA,NA
"ellefra01","NYK",1950,0,0,0,NA,NA,NA,NA,NA
"ferriar01","MNL",1950,0.2,2.2,2.4,NA,NA,NA,NA,NA
"foustla01","FTW",1950,0.9,3.6,4.5,NA,NA,NA,NA,NA
"fulksjo01","PHW",1950,-0.2,4.5,4.3,NA,NA,NA,NA,NA
"gaborbi01","SYR",1950,0.4,1.1,1.5,NA,NA,NA,NA,NA
"gallaha01","NYK",1950,5.9,1.7,7.6,NA,NA,NA,NA,NA
"gardnve01","PHW",1950,-0.3,1.9,1.6,NA,NA,NA,NA,NA
"gaydaed01","TRI",1950,0.4,0.2,0.6,NA,NA,NA,NA,NA
"gilmuch01","WSC",1950,-0.3,0.2,-0.1,NA,NA,NA,NA,NA
"grantbu01","MNL",1950,-0.5,1.1,0.6,NA,NA,NA,NA,NA
"grozaal01","INO",1950,14.7,3.3,18,NA,NA,NA,NA,NA
"halebr01","INO",1950,-0.7,0.3,-0.4,NA,NA,NA,NA,NA
"hannual01","SYR",1950,0.4,1.3,1.7,NA,NA,NA,NA,NA
"hargijo01","FTW",1950,0.2,0.2,0.4,NA,NA,NA,NA,NA
"hargijo01","TRI",1950,0.1,0.2,0.3,NA,NA,NA,NA,NA
"harribo01","FTW",1950,-0.4,0.2,-0.2,NA,NA,NA,NA,NA
"harribo01","BOS",1950,0.6,0.6,1.2,NA,NA,NA,NA,NA
"harribo02","MNL",1950,1,2.3,3.3,NA,NA,NA,NA,NA
"hassebi01","BLB",1950,-0.5,0.3,-0.2,NA,NA,NA,NA,NA
"hertzso01","BOS",1950,1.4,1.1,2.5,NA,NA,NA,NA,NA
"hoffmpa01","BLB",1950,-0.2,1.1,0.8,NA,NA,NA,NA,NA
"hollajo01","INO",1950,-1.6,1.8,0.2,NA,NA,NA,NA,NA
"holzmre01","ROC",1950,-0.2,1,0.8,NA,NA,NA,NA,NA
"huttojo01","MNL",1950,-0.3,1,0.6,NA,NA,NA,NA,NA
"jamesge01","NYK",1950,0,0,0,NA,NA,NA,NA,NA
"jamesge01","BLB",1950,-0.2,0.7,0.5,NA,NA,NA,NA,NA
"jarosto01","MNL",1950,-0.8,1.3,0.6,NA,NA,NA,NA,NA
